Lokalizacja,Płeć,Wiek,Populacja
ANIOŁKI,kobiety,1,17
ANIOŁKI,mężczyźni,1,31
BRĘTOWO,kobiety,1,35
BRĘTOWO,mężczyźni,1,42
BRZEŹNO,kobiety,1,54
BRZEŹNO,mężczyźni,1,56
CHEŁM,kobiety,1,377
CHEŁM,mężczyźni,1,368
JASIEŃ,kobiety,1,233
JASIEŃ,mężczyźni,1,199
KOKOSZKI,kobiety,1,56
KOKOSZKI,mężczyźni,1,54
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,1,14
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,1,10
LETNICA,kobiety,1,5
LETNICA,mężczyźni,1,6
MATARNIA,kobiety,1,28
MATARNIA,mężczyźni,1,30
MŁYNISKA,kobiety,1,10
MŁYNISKA,mężczyźni,1,9
NOWY PORT,kobiety,1,45
NOWY PORT,mężczyźni,1,45
OLIWA,kobiety,1,55
OLIWA,mężczyźni,1,63
OLSZYNKA,kobiety,1,18
OLSZYNKA,mężczyźni,1,19
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,1,62
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,1,68
OSOWA,kobiety,1,94
OSOWA,mężczyźni,1,108
PIECKIIGOWO,kobiety,1,182
PIECKIIGOWO,mężczyźni,1,208
PRZERÓBKA,kobiety,1,14
PRZERÓBKA,mężczyźni,1,23
PRZYMORZE MAŁE,kobiety,1,74
PRZYMORZE MAŁE,mężczyźni,1,61
PRZYMORZE WIELKIE,kobiety,1,98
PRZYMORZE WIELKIE,mężczyźni,1,89
RUDNIKI,kobiety,1,7
RUDNIKI,mężczyźni,1,8
SIEDLCE,kobiety,1,52
SIEDLCE,mężczyźni,1,61
STOGI,kobiety,1,36
STOGI,mężczyźni,1,39
STRZYŻA,kobiety,1,18
STRZYŻA,mężczyźni,1,30
SUCHANINO,kobiety,1,43
SUCHANINO,mężczyźni,1,46
ŚRÓDMIEŚCIE,kobiety,1,89
ŚRÓDMIEŚCIE,mężczyźni,1,113
UJEŚCISKO-ŁOSTOWICE,kobiety,1,187
UJEŚCISKO-ŁOSTOWICE,mężczyźni,1,194
VII DWÓR,kobiety,1,11
VII DWÓR,mężczyźni,1,15
WRZESZCZ DOLNY,kobiety,1,85
WRZESZCZ DOLNY,mężczyźni,1,102
WRZESZCZ GÓRNY,kobiety,1,109
WRZESZCZ GÓRNY,mężczyźni,1,117
WYSPA SOBIESZEWSKA,kobiety,1,11
WYSPA SOBIESZEWSKA,mężczyźni,1,17
